Project ID,Voluntary Registry,Voluntary Status,Scope,Type,Country,"Total Credits 
Issued",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR362,ACR,Registered,Chemical Processes,Reduction,United States,106024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106024,0,-106024,0,0
ACR365,ACR,Registered,Chemical Processes,Reduction,United States,5967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5967,0,-5967,0,0
ACR366,ACR,Registered,Chemical Processes,Reduction,United States,28770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28770,0,-28770,0,0
ACR368,ACR,Registered,Forestry & Land Use,Mixed,United States,102286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30069,9980,4433,16251,-5000
ACR369,ACR,Registered,Chemical Processes,Reduction,United States,113546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113546,0,0,-20700,-3656,0
ACR374,ACR,Registered,Forestry & Land Use,Mixed,United States,227401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76502,0,125899,0,-123572
ACR375,ACR,Registered,Forestry & Land Use,Mixed,United States,190803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47996,-14928,-23400,24121,0
ACR376,ACR,Registered,Forestry & Land Use,Mixed,United States,538247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242113,-68341,247979,-155008
ACR380,ACR,Registered,Agriculture,Reduction,United States,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR382,ACR,Registered,Industrial Manufacturing,Reduction,United States,117345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67470,-12106,46840
ACR386,ACR,Registered,Forestry & Land Use,Mixed,United States,205589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47673,28189,20798,32455
ACR389,ACR,Registered,Forestry & Land Use,Mixed,United States,866900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435453,-220227,342932,-239795,-23870
ACR394,ACR,Registered,Forestry & Land Use,Mixed,United States,30906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15438,0,30,0,-7734
ACR398,ACR,Registered,Forestry & Land Use,Mixed,United States,463283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127085,57665,116613,-13892
ACR408,ACR,Completed,Agriculture,Reduction,United States,11295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR410,ACR,Registered,Forestry & Land Use,Mixed,United States,59552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59552,0,0
