Project ID,Registry,Voluntary_Status,Scope,Type,Country,Total_Credits,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR450,ACR,Completed,Chemical_Processes,Reduction,United States of America,110310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110310,0,0
ACR451,ACR,Completed,Chemical_Processes,Reduction,United States of America,105696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105696,0,0
ACR454,ACR,Completed,Chemical_Processes,Reduction,United States of America,60500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33503,8480,18517
ACR455,ACR,Completed,Chemical_Processes,Reduction,United States of America,20817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20817,0
ACR457,ACR,Completed,Chemical_Processes,Reduction,United States of America,45605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45604,0
ACR459,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,120608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63766,52447,4395
ACR462,ACR,Completed,Chemical_Processes,Reduction,United States of America,59020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59019,0
ACR463,ACR,Completed,Chemical_Processes,Reduction,United States of America,62059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61316,1,742,0
ACR464,ACR,Completed,Chemical_Processes,Reduction,United States of America,64485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8684,0,55801,0
ACR465,ACR,Completed,Chemical_Processes,Reduction,United States of America,65282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26448,38834,0
ACR466,ACR,Completed,Chemical_Processes,Reduction,United States of America,67083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67083,0,0
ACR480,ACR,Completed,Chemical_Processes,Reduction,United States of America,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100
ACR483,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,34662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34662
ACR491,ACR,Completed,Chemical_Processes,Reduction,Canada,24819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24819,0
ACR499,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,312862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110563,162133,40166
ACR501,ACR,Completed,Chemical_Processes,Reduction,Canada,22304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22304,0
ACR502,ACR,Completed,Chemical_Processes,Reduction,Canada,26208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26208,0
ACR505,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
ACR506,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,12234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12234
ACR508,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5349
ACR514,ACR,Completed,Chemical_Processes,Reduction,United States of America,55566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5126,3842,46598
ACR515,ACR,Completed,Chemical_Processes,Reduction,United States of America,45940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8972,36968
ACR516,ACR,Completed,Chemical_Processes,Reduction,United States of America,8171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8171
ACR518,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,92920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66480,26440
ACR519,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,31200
ACR534,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,164898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97604,67294
ACR551,ACR,Completed,Chemical_Processes,Reduction,United States of America,16270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15270,1000
ACR552,ACR,Completed,Chemical_Processes,Reduction,United States of America,97000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,41000
